Region,Population,school_age_pop,adm2_name,school_count,area_sqkm,schools_per_1000_children,schools_per_km2,child_pop_density,density_gap,year,density_norm,school_fragility_score
Kossin,351812.0,156556.34,Kossin,330,7409.9013243,2.107853901963332,0.044535006008487504,21.127992553232765,2.107853901963332,2019,0.2744776799017248,0.7255223200982752
Nayala,204955.0,91204.975,Nayala,128,3700.9667896,1.403416826584004,0.034585557579087114,24.643554018450793,1.403416826584004,2019,0.18220669739028653,0.8177933026097135
Sourou,269508.0,119931.06,Sourou,28,5969.49134415,0.23346551372502064,0.004690516894281039,20.090666538536887,0.23346551372502064,2019,0.028960139392306784,0.9710398606076932
Comoe,881956.0,392470.42,Comoe,207,15283.02291252,0.5274269397756403,0.013544440859957332,25.68015648779041,0.5274269397756403,2019,0.06746479871556608,0.9325352012844339
Leraba,177751.0,79099.195,Leraba,95,3002.21671437,1.2010084172358866,0.031643285291593375,26.346930460214487,1.2010084172358866,2019,0.15569414793500522,0.8443058520649948
Dyamongou,167923.0,74725.735,Dyamongou,67,6100.26647201,0.8966001257782773,0.010983126771169378,12.249585381698635,0.8966001257782773,2019,0.11582110161316463,0.8841788983868354
Gobnangou,389375.0,173271.875,Gobnangou,594,9244.43623858,3.4281187981673416,0.06425486472837005,18.743368500599402,3.4281187981673416,2019,0.4474131249626008,0.5525868750373992
Loroum,196742.0,87550.19,Loroum,527,3760.95391465,6.019335659515308,0.14012402490420928,23.278719172539382,6.019335659515308,2019,0.7868247403549814,0.2131752596450186
Passore,405397.0,180401.665,Passore,76,3971.41245472,0.42127980759042555,0.019136768307626787,45.4250640186198,0.42127980759042555,2019,0.053561072577603806,0.9464389274223962
Yatenga,714222.0,317828.79,Yatenga,1249,6758.85838151,3.9297763749584336,0.18479452142640695,47.0240345425012,3.9297763749584336,2019,0.5131229507407169,0.4868770492592831
Zondoma,235530.0,104810.85,Zondoma,122,1995.03365732,1.1639905220640605,0.0611518505226057,52.535880593010226,1.1639905220640605,2019,0.1508453435813012,0.8491546564186988
Bale,301797.0,132941.57849999997,Bale,74,4534.61145906,0.5566312977749263,0.016318928461257803,29.31708255497551,0.5566312977749263,2020,0.07129014366175426,0.9287098563382458
Banwa,367005.0,161665.70249999998,Banwa,2,5819.61361387,0.012371131278563686,0.0003436654274148649,27.77945637399344,0.012371131278563686,2020,0.0,1.0
Mouhoun,418230.0,184230.31499999997,Mouhoun,272,7031.24554018,1.4764048120700872,0.03868446898144263,26.2016614193342,1.4764048120700872,2020,0.1917670589438078,0.8082329410561921
Bougouriba,172108.0,75813.574,Bougouriba,28,2750.355624,0.36932213059721214,0.010180501661555314,27.565007716980237,0.36932213059721214,2020,0.046755374705165505,0.9532446252948344
Ioba,248104.0,109289.81199999999,Ioba,43,3293.38776005,0.3934456997171913,0.013056464386491549,33.18461716707806,0.3934456997171913,2020,0.04991521041254143,0.9500847895874586
Noumbiel,109118.0,48066.47899999999,Noumbiel,41,2826.29472669,0.8529675542168543,0.014506625799785903,17.00688839917725,0.8529675542168543,2020,0.11010587112887306,0.889894128871127
Poni,404877.0,178348.31849999996,Poni,55,7643.15800485,0.30838357254502213,0.007195978411685262,23.334375448843037,0.30838357254502213,2020,0.03877331240204487,0.9612266875979552
Gourma,496513.0,218713.97649999996,Gourma,90,10975.14593882,0.41149445474759255,0.008200346537685895,19.928115554836545,0.41149445474759255,2020,0.05227933407662684,0.9477206659233731
Kompienga,192157.0,84645.15849999999,Kompienga,9,6987.28975197,0.10632496689143903,0.0012880530677094842,12.11416178585339,0.10632496689143903,2020,0.012306582128786919,0.9876934178712131
Houet,1608960.0,708746.8799999999,Houet,588,11391.01114575,0.8296321112099836,0.05161964925470058,62.219839040754,0.8296321112099836,2020,0.10704926844732882,0.8929507315526712
Kenedougou,481434.0,212071.67699999997,Kenedougou,87,8397.98259975,0.4102367227627348,0.010359630895471242,25.252693070156297,0.4102367227627348,2020,0.052114589530896635,0.9478854104691034
Tuy,378259.0,166623.08949999997,Tuy,27,5548.35488254,0.16204139558103933,0.004866307323809752,30.0310800277651,0.16204139558103933,2020,0.019604621651265988,0.980395378348734
